NBDriver_int	NBDriver_nbd_only	Mutation_Taster	FATHMM_cancer	CHASMplus	Condel	FATHMM_missense	PROVEAN	SIFT	PolyPhen2	MutationAssessor	VEST	Candraplus	Ensemble	Ground_truth
1	1	1	2	1	2	2	2	2	2	2	2	2	1	1
1	1	1	2	1	2	2	1	2	1	1	2	2	1	1
1	1	1	1	1	2	2	1	2	2	1	2	2	1	1
1	1	1	1	1	1	2	1	1	1	1	2	2	1	1
1	1	1	1	1	2	2	2	2	2	2	2	2	1	1
1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
1	1	1	1	1	2	2	2	1	1	1	2	2	1	1
1	1	1	2	1	1	1	2	2	1	1	2	2	1	1
1	1	2	2	2	2	2	2	2	2	2	2	2	2	1
1	1	2	2	1	2	2	1	2	2	2	2	2	2	1
1	1	1	1	1	2	2	1	2	2	1	2	2	1	1
1	1	1	2	1	2	1	2	2	2	2	2	2	1	1
1	1	1	2	1	2	1	2	2	2	2	1	2	1	1
1	1	1	2	1	2	1	2	2	2	2	2	2	1	1
1	1	1	2	1	2	1	1	1	1	1	2	2	1	1
1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
1	1	1	2	1	2	1	2	1	1	1	1	2	1	1
1	1	1	2	1	1	1	1	1	1	1	2	2	1	1
2	1	1	1	1	2	2	2	2	2	2	1	2	1	1
1	1	1	1	1	2	1	2	1	1	1	2	2	1	1
1	1	1	2	1	2	2	2	2	2	2	2	2	1	1
1	1	1	1	1	2	2	2	2	2	2	2	2	1	1
1	1	1	1	1	2	2	1	1	1	1	2	2	1	1
1	2	2	1	2	2	2	1	2	2	2	2	2	2	2
1	1	1	2	1	1	1	1	1	1	1	1	2	1	1
1	1	1	1	1	2	2	1	2	1	1	1	2	1	1
1	1	1	1	1	1	1	1	2	1	1	2	2	1	1
1	1	1	2	1	2	2	1	2	1	1	2	2	1	1
1	1	2	2	2	2	2	1	2	2	2	2	2	2	1
1	1	2	2	1	2	2	1	2	2	2	2	2	2	1
1	1	2	2	1	2	2	1	2	2	2	2	2	2	2
1	1	2	1	1	1	1	1	1	2	1	2	2	1	1
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1
1	1	1	1	1	1	1	1	2	2	2	2	2	1	1
1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
1	1	2	2	1	2	2	1	2	2	2	2	2	2	2
1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
1	1	1	2	1	2	2	2	2	2	1	2	2	2	1
1	1	1	2	1	2	1	2	2	2	1	1	2	1	1
1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
1	2	1	1	1	1	1	1	1	1	1	2	2	1	1
2	2	1	1	1	1	1	2	2	2	1	1	2	1	1
1	2	1	1	1	1	1	1	2	1	1	2	2	1	1
1	1	2	1	1	2	1	1	2	2	2	2	2	1	2
1	1	1	1	1	1	1	1	2	1	1	2	2	1	1
1	1	1	2	1	1	1	1	1	1	1	1	2	1	1
1	1	2	1	1	1	1	1	2	2	2	2	2	1	1
1	1	1	1	1	1	1	1	2	2	1	2	2	1	1
1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
1	1	2	1	1	2	2	1	2	2	2	2	2	1	2
1	1	2	1	1	1	1	1	1	1	1	2	2	1	1
1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
2	1	1	1	1	1	1	1	2	2	1	2	2	1	1
2	1	1	2	1	1	1	1	1	1	1	1	2	1	1
1	1	2	1	1	1	1	1	1	2	1	2	2	1	1
1	1	1	1	1	1	1	2	2	2	1	2	2	1	1
1	1	1	1	1	1	1	2	2	2	1	2	2	1	1
1	1	1	1	1	1	1	2	2	1	2	2	2	1	1
1	1	1	1	1	1	1	1	2	2	1	2	2	1	1
1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
1	1	1	1	1	2	1	1	2	2	1	2	2	1	1
1	1	1	2	1	2	1	1	1	2	2	2	2	1	1
1	1	2	1	1	2	1	1	2	2	2	2	2	1	1
1	1	2	1	1	1	1	1	2	2	2	2	2	1	1
1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
1	1	1	1	1	1	1	2	2	1	2	2	2	1	1
1	1	1	1	1	2	1	2	1	1	2	1	2	1	1
2	1	2	1	1	1	1	1	2	2	2	1	2	1	2
1	1	2	2	1	2	2	1	2	2	2	2	2	2	2
1	1	2	1	1	2	1	1	2	2	2	2	2	1	2
1	1	1	1	1	1	1	1	2	2	2	2	2	1	1
2	1	1	1	1	1	1	2	2	1	1	1	2	1	1
1	1	2	2	1	2	2	2	2	2	2	2	2	2	1
1	1	1	1	1	1	1	2	1	1	1	1	2	1	1
1	1	2	2	1	2	1	1	1	2	2	2	2	2	1
1	1	1	1	1	1	1	1	1	1	2	2	2	1	1
1	1	2	1	1	2	1	1	2	2	2	2	2	1	2
1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
1	1	2	2	1	2	1	1	2	2	1	2	2	2	2
1	1	2	2	1	2	1	1	1	1	1	2	2	2	2
2	1	2	1	1	2	2	1	1	2	1	2	2	2	1
1	1	2	1	1	2	2	1	2	2	2	2	2	1	2
1	1	1	1	1	1	1	1	2	2	1	2	2	1	2
1	1	1	2	1	1	1	1	1	1	1	2	2	1	1
1	1	2	2	1	2	2	2	2	2	2	2	2	2	1
1	1	1	1	1	1	1	1	2	2	2	2	2	1	1
2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	1	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	1	2	2	2	2	2	2	2	2	2	2
1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	1	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	1	1	2	1	1	1	1	1	2	2	2
2	2	2	2	2	2	2	1	1	2	2	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	1	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	1	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	1	2	2	2	1	2	1	1	1	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	1	1	2	2	2	2	1	1	2	2	2
2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	1	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	1	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	1	2	2	2	2	1	2	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	1	2	2	2	2	1	2	2	2	2
2	1	2	2	1	1	2	1	1	1	1	1	2	2	1
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	1	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	1	1	1	1	2	1	2	1	2	2	1
2	1	2	2	1	1	1	1	1	1	1	1	2	2	2
2	2	2	2	2	1	1	2	1	2	1	2	2	2	2
2	1	2	2	2	2	2	2	2	2	1	2	2	2	2
2	1	2	2	2	1	2	2	1	2	1	2	2	2	2
2	1	2	2	2	1	2	1	2	2	1	2	2	2	2
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	2	1	1	2	2	2	1	2	2	2	2
2	1	2	2	2	1	1	1	1	2	1	2	2	2	2
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	1	1	1	1	1	1	1	1	2	2	2
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	1	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	1	2	2	2	1	2	2	2	2	1	2	2	2	2
2	1	2	2	2	2	2	2	2	2	1	2	2	2	2
1	1	2	2	1	2	2	1	1	2	1	1	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	1	1	2	2	1	2	1	2	2	1	2
1	1	2	2	2	1	1	1	2	2	1	1	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	2	2	1	1	1	2	1	2	2	2	1
2	2	2	2	2	1	1	1	1	1	1	2	2	2	2
2	1	2	2	2	1	2	1	2	2	1	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	1	1	2	2	2	2	2	1	2	2	1	1
2	1	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	1	1	2	1	1	2	2	1
2	1	2	2	2	1	1	1	1	2	1	2	2	2	2
2	1	2	2	2	1	1	2	1	2	1	2	2	2	2
2	1	2	2	2	2	2	1	1	2	1	2	2	2	2
2	1	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	1	2	2
2	2	2	2	1	2	2	2	2	2	2	2	1	2	2
2	2	2	2	1	2	2	2	2	2	2	2	1	2	2
2	2	2	2	1	2	2	2	2	2	1	2	1	2	2
2	2	2	1	1	2	2	2	2	2	2	2	1	2	2
2	2	2	2	1	2	2	2	1	2	1	1	1	2	2
2	2	2	2	1	2	2	2	2	2	1	2	1	2	2
2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	1	2	2	2	2	1	2	2	2	2
2	2	2	2	2	1	2	2	2	2	1	2	2	2	2
2	2	2	2	1	2	1	1	2	2	1	2	2	2	2
2	2	2	2	1	1	2	2	2	2	1	2	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	1	1	1	1	1	1	1	1	2	2	2
2	2	1	2	1	2	2	2	2	2	1	2	2	2	2
2	2	2	2	1	1	2	2	2	2	1	2	2	2	2
2	2	2	2	1	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	1	1	2	2	2	2
2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
2	2	2	2	1	1	1	2	2	2	2	2	2	2	2
2	2	2	2	1	1	1	1	1	1	1	1	2	2	1
2	2	2	2	1	2	2	2	2	1	2	2	2	2	2
2	2	2	2	1	1	2	2	2	2	1	1	2	2	2
2	2	2	2	2	1	2	2	2	2	1	1	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
2	2	2	2	1	2	2	2	2	1	2	2	2	2	2
2	2	2	2	1	2	2	2	2	1	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	1	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	1	1	2	2	2	1	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	1	1	2	2	2	1	2	1	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	2	2	2	2	2	2	2	1	2	2	2	2	2
1	1	2	1	1	2	2	2	2	2	2	2	1	1	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	1	1	1	1	2	2	2	2
2	2	2	2	2	1	1	1	2	2	1	2	2	2	2
2	2	2	2	1	1	1	1	1	2	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	1	2	1	1	2	2	2	2
2	2	2	2	2	1	1	2	1	2	2	2	2	2	2
2	2	2	2	1	1	1	1	2	1	1	2	2	2	2
2	2	2	2	1	1	1	1	1	2	1	2	2	2	2
2	2	2	2	1	1	1	1	2	1	1	2	2	2	2
2	2	2	2	2	1	1	1	1	1	1	2	2	2	2
2	2	2	2	1	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	1	1	2	2	2	2	2	2
2	2	2	2	1	1	1	1	2	1	1	1	2	2	1
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	1	1	2	2	2	2	2	2
2	2	2	2	2	2	1	1	1	1	1	2	2	2	2
2	2	2	2	2	1	1	1	2	2	1	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	1	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	1	2	2	2
2	2	2	2	2	1	1	1	2	1	1	2	2	2	2
2	2	2	2	1	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	1	2	2	2	2	2	2
2	2	2	2	1	1	1	1	2	2	2	2	2	2	2
2	2	2	2	2	1	1	2	2	2	1	2	2	2	2
2	2	2	2	2	2	1	2	1	2	2	1	2	2	2
2	2	2	1	2	2	1	2	2	2	2	2	2	2	2
2	2	2	1	2	2	1	2	2	2	2	2	2	2	2
2	2	2	1	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
2	1	2	2	1	2	2	2	2	2	2	1	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	1	1	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	1	2	1	2	2	1	1	1	1	1	2	2	2
2	2	1	2	1	2	2	1	1	1	2	1	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	1	2	1	2	2	2	2
2	1	1	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	1	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	1	2	1	2	2	2	2	2
2	1	2	2	2	2	2	1	2	2	2	1	2	2	2
2	1	1	2	1	2	2	1	2	1	1	1	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	1	2	2	1	1	2	1	1	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	1	2	1	1	1	2	2	2
2	1	2	2	1	2	2	1	2	2	2	2	2	2	2
2	1	2	2	1	2	2	1	2	2	2	2	2	2	2
2	1	2	2	1	2	2	1	1	1	2	1	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	1	1	1	1	1	2	2	2
2	1	2	2	2	2	2	1	2	2	1	1	2	2	2
2	2	2	2	2	2	2	2	2	1	1	2	2	2	2
2	2	2	2	2	2	2	2	2	1	1	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	1	1	1	1	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	1	2	1	2	2	1	1	1	1	1	2	2	2
2	1	2	2	2	2	2	2	2	2	2	1	2	2	2
2	2	2	2	2	2	2	1	1	2	1	1	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	1	2	2	2	2	1	1	1	1	1	2	2	2
2	1	1	2	1	2	2	1	1	1	2	1	2	2	2
2	1	2	2	2	2	2	1	2	1	1	1	2	2	2
2	1	2	2	2	2	2	1	1	1	1	1	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	1	1	1	1	2	2	2	2
